,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage
9045,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.0556,3.04,4.0,0.0227,2.89
12691,27.5,327.0,97.0,-995.0,325.0,316.0,3.0,0.0702,3.6,3.0,0.0892,8.37
15092,27.7,327.0,116.0,-1590.0,326.0,319.0,3.0,0.0723,9.41,4.0,0.0182,0.717
23409,29.7,327.0,35.0,-1930.0,326.0,320.0,3.0,0.0757,8.13,2.5,0.0322,6.27
16914,29.7,327.0,23.0,993.0,325.0,317.0,3.0,0.0551,6.83,3.0,0.101,4.36
24447,27.7,327.0,126.0,2090.0,326.0,322.0,3.0,0.169,8.68,2.5,0.0564,6.83
3873,27.5,326.0,109.0,387.0,325.0,324.0,6.0,0.0426,6.85,3.0,0.0933,14.1
17264,29.7,327.0,47.0,-928.0,326.0,320.0,3.0,0.0661,5.4,3.0,0.0459,6.52
19202,119.0,330.0,0.0,2150.0,328.0,330.0,50.0,0.0206,1.69,3.0,0.0161,2.62
18041,27.7,327.0,112.0,129.0,326.0,319.0,3.0,0.099,10.3,3.0,0.0295,1.41
8171,27.7,324.0,117.0,25.7,323.0,320.0,15.0,0.139,28.8,4.0,0.0516,5.86
14112,28.5,327.0,84.0,-1980.0,325.0,323.0,3.0,0.0525,2.25,3.0,0.0559,8.85
24190,41.6,329.0,7.0,455.0,327.0,329.0,50.0,0.126,28.3,2.5,0.186,47.4
15379,28.7,327.0,71.0,-1020.0,325.0,322.0,3.0,0.0769,9.06,4.0,0.0278,7.69
15582,28.7,327.0,75.0,-916.0,325.0,320.0,3.0,0.0787,9.84,4.0,0.0223,0.849
10191,28.5,327.0,71.0,-1030.0,325.0,323.0,3.0,0.0892,8.21,4.0,0.0237,2.51
