,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition
18763,29.7,325.0,0.0847,326.0,-1300.0
3482,28.5,325.0,0.0939,326.0,-792.0
3072,29.5,325.0,0.107,326.0,1050.0
16185,27.7,326.0,0.0533,327.0,-553.0
12561,27.5,325.0,0.102,327.0,-776.0
7161,29.7,323.0,0.105,324.0,571.0
582,28.5,324.0,0.0801,326.0,-1720.0
8639,27.7,323.0,0.0677,324.0,-1770.0
23398,28.7,325.0,0.0641,327.0,989.0
3610,119.0,328.0,0.0221,330.0,339.0
3365,27.5,325.0,0.0958,326.0,-173.0
18293,27.7,326.0,0.0693,327.0,-389.0
2267,29.5,321.0,0.131,321.0,232.0
17709,27.7,325.0,0.0563,327.0,838.0
14824,29.7,325.0,0.0675,326.0,-264.0
2564,119.0,328.0,0.0323,329.0,220.0
15025,27.7,326.0,0.0794,327.0,-1730.0
8051,28.7,322.0,0.0398,324.0,-1090.0
9560,55.7,326.0,0.0554,327.0,-981.0
6736,119.0,327.0,0.0193,329.0,-1220.0
5663,28.7,324.0,0.0829,325.0,1640.0
13707,28.5,326.0,0.0617,327.0,-1820.0
19432,55.7,328.0,0.0416,329.0,-927.0
15911,28.7,326.0,0.0837,327.0,322.0
19540,55.7,328.0,0.04,330.0,-927.0
22204,29.5,325.0,0.0689,327.0,1060.0
24786,28.7,326.0,0.102,327.0,1410.0
14717,28.7,325.0,0.047,327.0,-1510.0
1378,119.0,332.0,2.79e-19,328.0,-1160.0
3145,119.0,328.0,0.0195,329.0,339.0
12663,27.5,326.0,0.0768,327.0,1250.0
22538,29.5,326.0,0.0643,327.0,-390.0
18603,27.7,326.0,0.0473,327.0,1430.0
11103,28.5,325.0,0.0703,327.0,-16.1
15546,28.7,325.0,0.096,327.0,-889.0
9231,55.7,326.0,0.0528,327.0,-978.0
19830,27.7,325.0,0.114,326.0,-1870.0
15525,28.7,326.0,0.0495,327.0,81.8
14673,119.0,328.0,0.0252,330.0,-2060.0
2969,28.5,324.0,0.0716,326.0,-1150.0
7603,31.9,324.0,0.0229,325.0,1600.0
20016,29.7,326.0,0.0989,327.0,-956.0
6356,27.7,324.0,0.0957,325.0,-789.0
9254,119.0,326.0,0.0235,327.0,383.0
2909,119.0,328.0,0.0184,330.0,339.0
743,27.5,324.0,0.111,326.0,-856.0
5354,27.7,324.0,0.104,325.0,90.9
18003,28.7,326.0,0.0647,327.0,-1960.0
10891,28.5,325.0,0.0637,327.0,-1470.0
23354,27.7,326.0,0.0596,327.0,931.0
9948,119.0,329.0,0.0212,330.0,-1960.0
19267,28.7,325.0,0.0957,327.0,-188.0
19996,27.7,326.0,0.102,327.0,-1150.0
717,34.5,325.0,0.0231,326.0,-995.0
6839,119.0,326.0,0.0203,327.0,306.0
21366,28.5,326.0,0.0889,327.0,-1390.0
19145,30.6,326.0,0.0183,327.0,-300.0
9178,119.0,326.0,0.0164,328.0,383.0
11472,28.5,325.0,0.081,327.0,-1010.0
23307,29.7,326.0,0.0999,327.0,2150.0
10103,28.5,325.0,0.0558,327.0,-1990.0
17372,28.7,326.0,0.0738,327.0,-1620.0
21368,28.5,326.0,0.0675,328.0,-1380.0
7874,55.7,326.0,0.0567,327.0,341.0
15301,29.7,325.0,0.0641,327.0,-350.0
12382,29.5,326.0,0.0677,327.0,1020.0
17101,28.7,325.0,0.0537,327.0,571.0
839,27.5,324.0,0.0485,326.0,-344.0
13345,28.5,326.0,0.0747,327.0,1290.0
18560,29.7,326.0,0.0498,327.0,-2050.0
4029,28.5,325.0,0.102,326.0,-1220.0
2228,119.0,332.0,2.79e-19,328.0,-1160.0
452,28.5,324.0,0.0876,326.0,1890.0
545,28.5,324.0,0.0489,326.0,-1910.0
21298,55.5,329.0,0.0631,330.0,394.0
5432,27.7,323.0,0.107,324.0,-1500.0
7255,27.7,323.0,0.0338,324.0,1980.0
11739,27.5,325.0,0.101,327.0,-833.0
10281,29.5,325.0,0.107,327.0,-38.6
22522,29.5,326.0,0.079,327.0,922.0
2809,119.0,328.0,0.0201,330.0,339.0
1994,119.0,332.0,2.79e-19,328.0,-1160.0
9569,27.7,322.0,0.104,324.0,-1340.0
13288,28.5,325.0,0.0529,327.0,-2040.0
18595,27.7,326.0,0.0481,327.0,1390.0
10572,28.5,325.0,0.0902,327.0,-1760.0
19947,29.7,326.0,0.0985,327.0,-1430.0
11111,27.5,326.0,0.0725,327.0,1430.0
24205,27.7,326.0,0.0681,327.0,1610.0
12270,29.1,325.0,0.0537,326.0,-1460.0
13665,30.5,328.0,0.0266,330.0,136.0
22109,29.5,325.0,0.0743,327.0,1140.0
6006,119.0,326.0,0.0243,328.0,-978.0
18657,47.8,324.0,0.0542,326.0,2090.0
12591,28.5,326.0,0.109,327.0,-237.0
24022,29.7,325.0,0.0707,327.0,1400.0
24519,35.7,325.0,0.0685,326.0,-457.0
18240,29.7,325.0,0.0621,327.0,-1930.0
5872,29.7,323.0,0.0743,324.0,-827.0
10855,28.5,323.0,0.0816,325.0,-1280.0
1409,27.6,325.0,0.0516,327.0,2080.0
3099,119.0,328.0,0.0208,329.0,339.0
2017,119.0,326.0,2.78e-19,324.0,905.0
3670,28.5,325.0,0.1,327.0,-1370.0
24830,53.7,324.0,0.186,324.0,-1100.0
22423,28.5,326.0,0.0758,328.0,-673.0
13923,29.5,326.0,0.0725,327.0,2020.0
17202,27.7,326.0,0.0582,327.0,1350.0
24539,27.7,326.0,0.0759,327.0,-707.0
15946,34.5,326.0,0.0235,327.0,775.0
10357,27.5,326.0,0.106,327.0,-294.0
21387,55.7,329.0,0.0167,330.0,-1720.0
4831,29.5,326.0,0.0201,327.0,-1230.0
5612,119.0,327.0,0.0274,328.0,-978.0
22177,28.5,326.0,0.0842,327.0,-737.0
19190,27.7,325.0,0.191,327.0,1770.0
21247,27.5,326.0,0.0948,327.0,-1160.0
20543,29.7,324.0,0.0461,326.0,-468.0
15433,55.7,329.0,0.0476,330.0,42.0
10950,29.5,326.0,0.0854,327.0,1090.0
13886,27.5,325.0,0.0702,327.0,1380.0
19393,28.7,325.0,0.0969,327.0,-108.0
6257,28.7,323.0,0.0865,324.0,2100.0
24479,27.7,326.0,0.0502,327.0,1340.0
15483,32.0,326.0,0.021,327.0,1510.0
524,28.5,325.0,0.0876,326.0,-2020.0
9443,55.7,326.0,0.0504,328.0,-978.0
16954,27.7,326.0,0.0626,327.0,-165.0
16899,55.7,329.0,0.0622,330.0,2150.0
15395,27.7,326.0,0.0984,327.0,-1460.0
1352,28.5,324.0,0.107,325.0,1250.0
6242,31.6,323.0,0.0632,325.0,725.0
11473,28.5,326.0,0.0775,327.0,-1010.0
9499,55.7,325.0,0.0501,327.0,-978.0
19768,29.7,325.0,0.0459,327.0,-711.0
15917,29.7,326.0,0.0594,327.0,371.0
8899,28.7,322.0,0.11,324.0,1970.0
23952,29.7,326.0,0.0976,327.0,-1210.0
15267,28.7,325.0,0.0661,327.0,55.0
13569,27.5,325.0,0.052,327.0,88.4
5519,27.7,324.0,0.0519,325.0,-437.0
15571,119.0,328.0,0.0245,330.0,-2060.0
6084,29.7,323.0,0.0831,325.0,304.0
7758,29.7,323.0,0.128,323.0,-1630.0
17658,29.7,326.0,0.0636,327.0,-1240.0
3513,119.0,328.0,0.0157,329.0,339.0
12469,36.2,326.0,0.0191,327.0,-1360.0
4549,119.0,327.0,0.0341,329.0,339.0
22444,28.9,326.0,0.0223,328.0,1900.0
24639,27.7,326.0,0.0436,327.0,1770.0
23623,27.7,326.0,0.0717,327.0,659.0
24612,29.7,325.0,0.088,327.0,609.0
21124,29.5,326.0,0.0577,327.0,468.0
14662,119.0,329.0,0.0243,330.0,-2060.0
6416,29.7,323.0,0.0834,325.0,-406.0
9180,119.0,326.0,0.02,328.0,383.0
240,29.5,324.0,0.0528,326.0,750.0
19378,55.7,328.0,0.0407,329.0,-927.0
24257,27.7,326.0,0.0733,327.0,1290.0
7590,27.7,323.0,0.116,324.0,1850.0
18730,28.7,326.0,0.0583,327.0,683.0
6429,29.7,324.0,0.0943,324.0,533.0
5665,28.7,324.0,0.103,325.0,1650.0
16841,28.7,326.0,0.0599,327.0,2020.0
15162,29.7,326.0,0.0682,327.0,-1980.0
14086,29.5,326.0,0.0966,327.0,1780.0
7736,28.7,323.0,0.105,324.0,-716.0
9933,119.0,329.0,0.0212,330.0,-1960.0
6631,119.0,326.0,0.0229,328.0,306.0
14132,86.8,327.0,0.111,328.0,136.0
18376,29.7,325.0,0.0797,327.0,881.0
12374,29.5,325.0,0.109,327.0,976.0
22002,28.5,326.0,0.0789,327.0,-1470.0
528,28.5,325.0,0.0981,326.0,-2000.0
8231,119.0,327.0,0.0368,328.0,-2050.0
3880,29.5,325.0,0.068,326.0,983.0
17047,29.7,325.0,0.0606,327.0,1820.0
22529,29.5,326.0,0.0591,327.0,959.0
12454,29.5,325.0,0.0702,327.0,-1530.0
18414,55.7,328.0,0.0653,330.0,2150.0
8216,119.0,326.0,0.0187,328.0,-2050.0
17407,27.7,325.0,0.0958,327.0,294.0
17911,28.7,325.0,0.0466,327.0,2110.0
19722,119.0,328.0,0.024,330.0,2150.0
24253,27.7,326.0,0.098,328.0,1270.0
7259,27.7,323.0,0.123,323.0,2000.0
14007,28.5,326.0,0.0519,327.0,1180.0
2438,119.0,326.0,2.78e-19,324.0,905.0
37,29.5,325.0,0.0976,326.0,-335.0
4554,119.0,328.0,0.0218,329.0,339.0
13324,29.5,325.0,0.0857,327.0,-901.0
11210,27.5,325.0,0.0928,327.0,-1260.0
16211,27.7,326.0,0.0516,327.0,-1070.0
10094,27.5,326.0,0.0729,327.0,1850.0
15324,29.7,325.0,0.0716,326.0,-670.0
13297,27.5,325.0,0.0629,327.0,424.0
6060,55.7,327.0,0.0377,328.0,231.0
8294,119.0,326.0,0.0307,328.0,-2050.0
15537,27.7,326.0,0.0431,327.0,1540.0
21352,55.5,329.0,0.0656,330.0,378.0
7145,27.7,323.0,0.115,324.0,1680.0
13484,27.5,325.0,0.065,327.0,-563.0
20038,27.7,325.0,0.0986,326.0,-1790.0
20489,29.7,325.0,0.112,326.0,-681.0
2938,27.5,325.0,0.113,327.0,29.2
7162,29.7,323.0,0.365,324.0,577.0
4057,55.5,328.0,0.0452,329.0,1550.0
3489,27.5,325.0,0.0912,326.0,216.0
24145,28.7,326.0,0.0863,327.0,-184.0
9082,27.7,322.0,0.08,324.0,-1090.0
22721,27.5,326.0,0.096,327.0,1740.0
24692,29.7,325.0,0.0859,327.0,-1370.0
21915,27.5,326.0,0.079,327.0,1840.0
13549,29.5,326.0,0.0734,327.0,1230.0
14707,27.7,326.0,0.102,327.0,-1380.0
18664,55.7,328.0,0.0471,330.0,2120.0
17879,28.7,325.0,0.054,327.0,-2030.0
5983,29.7,323.0,0.0674,324.0,-720.0
8034,119.0,326.0,0.0172,328.0,-2050.0
22676,28.5,326.0,0.0785,327.0,2130.0
8884,55.7,326.0,0.0537,327.0,-978.0
18346,29.7,325.0,0.07,327.0,-2120.0
18709,55.7,329.0,0.051,330.0,2140.0
13426,27.5,326.0,0.0862,327.0,350.0
25019,55.7,328.0,0.0668,330.0,-1720.0
10666,27.5,325.0,0.0641,327.0,-603.0
12568,56.4,327.0,0.126,329.0,136.0
19893,28.7,325.0,0.0799,327.0,772.0
7635,55.7,326.0,0.0542,327.0,-2050.0
13217,27.5,325.0,0.0652,327.0,1170.0
10317,27.5,326.0,0.0962,327.0,-80.7
6137,29.7,323.0,0.0461,325.0,-603.0
10223,27.5,326.0,0.0765,327.0,1830.0
11435,28.5,325.0,0.0778,327.0,-1140.0
23603,119.0,329.0,0.0259,330.0,455.0
22510,55.7,329.0,0.0211,330.0,-1720.0
9348,55.7,326.0,0.0515,327.0,-978.0
11008,28.5,325.0,0.0577,327.0,-891.0
1009,27.5,325.0,0.219,326.0,563.0
21853,55.7,329.0,0.0253,330.0,-1720.0
9840,36.3,326.0,0.0291,327.0,1530.0
21855,55.7,329.0,0.0164,330.0,-1720.0
14650,119.0,328.0,0.0238,330.0,-2060.0
21864,29.5,326.0,0.0912,327.0,-876.0
16280,27.7,325.0,0.095,327.0,-2050.0
8037,119.0,326.0,0.0153,328.0,-2050.0
15431,55.7,329.0,0.0452,330.0,42.0
3179,55.5,328.0,0.0535,329.0,1550.0
16224,119.0,328.0,0.0237,330.0,-2060.0
2883,29.5,325.0,0.0925,326.0,791.0
5335,28.7,324.0,0.117,325.0,1690.0
2613,119.0,332.0,2.79e-19,328.0,-1160.0
3916,55.5,328.0,0.0406,329.0,1550.0
7410,88.0,325.0,0.122,327.0,306.0
21831,28.5,326.0,0.0954,327.0,2070.0
6667,27.7,323.0,0.0895,325.0,111.0
10565,27.5,326.0,0.0859,327.0,-764.0
19829,27.7,325.0,0.103,327.0,-1880.0
3675,28.5,325.0,0.0766,327.0,-1340.0
3492,27.5,326.0,0.105,327.0,232.0
19543,55.7,328.0,0.0428,330.0,-927.0
17772,29.7,325.0,0.0538,327.0,-1540.0
4479,29.5,324.0,0.112,326.0,-350.0
1376,119.0,332.0,2.79e-19,328.0,-1160.0
9257,55.7,326.0,0.0506,327.0,-978.0
5478,28.7,323.0,0.09,324.0,-1850.0
11592,29.5,326.0,0.0905,327.0,-631.0
3593,29.5,325.0,0.0991,326.0,1540.0
20538,29.7,324.0,0.0666,326.0,-494.0
23478,27.7,326.0,0.0818,327.0,2040.0
18089,28.7,325.0,0.0696,327.0,1920.0
14688,27.7,325.0,0.0717,327.0,1840.0
4654,29.5,325.0,0.0891,326.0,-270.0
24775,29.7,326.0,0.0613,327.0,2020.0
4662,29.5,324.0,0.0651,326.0,152.0
192,29.5,324.0,0.083,326.0,494.0
17061,28.7,326.0,0.0748,327.0,1810.0
8644,27.7,323.0,0.059,324.0,-1750.0
553,28.5,325.0,0.0995,326.0,-1870.0
9183,119.0,326.0,0.0234,328.0,383.0
17071,55.7,328.0,0.0597,330.0,2150.0
21933,27.5,326.0,0.0481,327.0,-316.0
5323,29.7,324.0,0.177,325.0,656.0
18393,119.0,328.0,0.0216,330.0,42.0
127,29.5,324.0,0.0835,325.0,147.0
4581,119.0,327.0,0.023,329.0,-486.0
19386,55.7,328.0,0.0417,330.0,-927.0
2916,119.0,328.0,0.0211,330.0,339.0
16349,29.7,326.0,0.0816,327.0,896.0
11451,28.5,326.0,0.0647,327.0,1720.0
3414,28.5,325.0,0.104,326.0,-1040.0
